original_text,flipped_text,negation_removed,true_label,pred_original,pred_flipped,conf_original,conf_flipped,prediction_same,orig_correct,flipped_correct
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,you do have to know about music to appreciate the film 's easygoing blend of comedy and romance .,n't,positive,positive,positive,0.9996,0.9997,1,1,1
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,even horror fans will most likely find what they 're seeking with trouble every day ; the movie lacks both thrills and humor .,not,negative,negative,negative,0.9991,0.9991,1,1,1
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you know when humor ends and tragedy begins .",never,negative,negative,negative,0.9421,0.9459,1,1,1
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ","it does believe in itself , it has no sense of humor ... it 's just plain bored .",n't,negative,negative,negative,0.9992,0.999,1,1,1
the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,the subtle strength of `` elling '' is that it loses touch with the reality of the grim situation .,never,positive,positive,negative,0.9994,0.9965,0,1,0
"the title not only describes its main characters , but the lazy people behind the camera as well . ","the title only describes its main characters , but the lazy people behind the camera as well .",not,negative,negative,negative,0.9865,0.9932,1,1,1
"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ","it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but does more than scratch the surface .",never,negative,negative,negative,0.9978,0.9972,1,1,1
"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ","this is a story of two misfits who do stand a chance alone , but together they are magnificent .",n't,positive,positive,positive,0.9997,0.9997,1,1,1
you wonder why enough was n't just a music video rather than a full-length movie . ,you wonder why enough was just a music video rather than a full-length movie .,n't,negative,negative,negative,0.9962,0.9982,1,1,1
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ","for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou really builds up a head of emotional steam .",never,negative,negative,positive,0.9934,0.9995,0,1,0
"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ","there is outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine .",nothing,positive,positive,positive,0.9977,0.9994,1,1,1
fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo go away .,n't,positive,positive,positive,0.9944,0.986,1,1,1
"you wo n't like roger , but you will quickly recognize him . ","you wo like roger , but you will quickly recognize him .",n't,negative,positive,positive,0.9957,0.9976,1,0,0
"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ","byler reveals his characters in a way that intrigues and even fascinates us , and he reduces the situation to simple melodrama .",never,positive,positive,positive,0.9995,0.9843,1,1,1
