model,attack,seed,original_text,perturbed_text,true_label,original_pred,perturbed_pred,original_correct,attack_success,n_words_changed,pct_words_changed,use_similarity
bert-tiny,textfooler,42,it 's a charming and often affecting journey . ,it 's a mignon and often affecting nomad . ,1,1,0,1,1,2,0.2222,0.3925
bert-tiny,textfooler,42,unflinchingly bleak and desperate ,unflinchingly somber and desperate ,0,0,1,1,1,1,0.25,0.8285
bert-tiny,textfooler,42,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,activate us to hope that nolan is poised to embark a major career as a commercial yet shrewd filmmaker . ,1,1,0,1,1,2,0.1,0.9379
bert-tiny,textfooler,42,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , disguises , music , cinematography and sound are all extraordinaire given the production 's austere locales . ",1,1,0,1,1,2,0.1,0.8533
bert-tiny,textfooler,42,"it 's slow -- very , very slow . ","it 's lent -- very , very lent . ",0,0,1,1,1,2,0.2222,0.0584
bert-tiny,textfooler,42,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few fanciful afflicting , the film is a fortunately serious look at young women . ",1,1,0,1,1,2,0.0952,0.9613
bert-tiny,textfooler,42,a sometimes tedious film . ,a sometimes uphill film . ,0,0,1,1,1,1,0.2,0.6653
bert-tiny,textfooler,42,or doing last year 's taxes with your ex-wife . ,or doing last year 's honorarium with your ex-wife . ,0,0,1,1,1,1,0.1,0.8494
bert-tiny,textfooler,42,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,you do n't have to know about music to recognising the film 's easygoing blend of comedy and romance . ,1,1,0,1,1,1,0.05,0.9578
bert-tiny,textfooler,42,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 record , most of which passed as slowly as if i 'd been sitting naked on an igloo , articulation 51 sank from quirky to parched to utter constantinople . ",0,0,1,1,1,4,0.1212,0.7848
bert-tiny,textfooler,42,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,the mesmerizing performances of the leads keep the film grounded and upheld the audience petrified . ,1,1,0,1,1,2,0.125,0.8831
bert-tiny,textfooler,42,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to vandalize the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,1,1,1,1,0.0333,0.9367
bert-tiny,textfooler,42,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,... the visuals heartbreak from a lack of wry ( something needed to balanced out the bestiality ) ... ,0,0,1,1,1,5,0.2632,0.6959
bert-tiny,textfooler,42,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie rarity both thrills and humor . ,0,0,1,1,1,1,0.04,0.947
