Essai,Confiance_Positif,Texte
1,0.02,The acting was terrible and the plot was bore
2,0.02,The acting was terrible and the plot was bored
3,0.02,The acting was terrible and the plot was dreary
4,0.02,The acting was terrible and the plot was dull
5,0.02,The acting was terrible and the plot was tiresome
6,0.02,The acting was terrible and the plot was monotonous
7,0.03,The acting was terrible and the plot was pesky
8,0.02,The acting was terrible and the plot was bothersome
9,0.02,The acting was terrible and the plot was annoying
10,0.02,The acting was terrible and the plot was tedious
11,3.07,The acting was terrible and the plot was piercing
12,0.02,The acting was terrible and the plot was boredom
13,0.02,The acting was terrible and the plot was uninspiring
14,0.02,The acting was terrible and the plot was irritating
15,0.02,The acting was terrible and the plot was drab
16,0.02,The acting was terrible and the plot was depressing
17,0.02,The acting was terrible and the plot was bummer
18,0.02,The acting was terrible and the plot was bores
19,0.11,The acting was terrible and the plot was pierce
20,0.11,The acting was terrible and the plot was drilled
21,0.05,The acting was terrible and the plot was beard
22,0.02,The acting was terrible and the plot was troublesome
23,0.02,The acting was terrible and the plot was tiring
24,0.02,The acting was terrible and the plot was monotony
25,0.05,The acting was terrible and the plot was wore
26,0.05,The acting was terrible and the plot was diameter
27,0.02,The acting was terrible and the plot was dismal
28,0.04,The acting was terrible and the plot was vexing
29,0.03,The acting was terrible and the plot was ghoulish
30,0.09,The acting was terrible and the plot was annoy
31,0.02,The acting was terrible and the plot was galling
32,0.03,The acting was terrible and the plot was disheartening
33,0.02,The acting was terrible and the plot was tedium
34,0.02,The acting was terrible and the plot was frustrating
35,0.05,The acting was terrible and the plot was boron
36,0.04,The acting was terrible and the plot was razor
37,0.02,The acting was terrible and the plot was irksome
38,0.02,The acting was terrible and the plot was exhausting
39,0.04,The acting was terrible and the plot was blunt
40,0.03,The acting was terrible and the plot was drudgery
41,0.02,The acting was terrible and the plot was irritate
42,0.02,The acting was terrible and the plot was uninspired
43,0.02,The acting was terrible and the plot was gruelling
44,0.03,The acting was terrible and the plot was infuriating
45,0.03,The acting was terrible and the plot was exasperating
46,0.02,The acting was terrible and the plot was disappointing
47,0.02,The acting was terrible and the plot was grim
48,0.02,The acting was terrible and the plot was unimaginative
49,0.02,The acting was terrible and the plot was humdrum
50,0.03,The acting was terrible and the plot was wearisome
51,99.32,The acting was terrible and the intrigue was piercing
52,13.94,The acting was terrible and the conspiracies was piercing
53,4.76,The acting was terrible and the plots was piercing
54,1.44,The acting was terrible and the conspiracy was piercing
55,9.98,The acting was terrible and the parcel was piercing
56,9.2,The acting was terrible and the parcels was piercing
57,4.27,The acting was terrible and the conspiring was piercing
58,5.89,The acting was terrible and the tracts was piercing
59,23.87,The acting was terrible and the plotted was piercing
60,5.12,The acting was terrible and the graph was piercing
61,0.92,The acting was terrible and the chart was piercing
62,2.59,The acting was terrible and the plotting was piercing
63,9.71,The acting was terrible and the lots was piercing
64,7.05,The acting was terrible and the graphs was piercing
65,55.02,The acting was terrible and the packs was piercing
66,1.43,The acting was terrible and the diagrams was piercing
67,7.22,The acting was terrible and the charting was piercing
68,0.34,The acting was terrible and the conspired was piercing
69,5.49,The acting was terrible and the charts was piercing
70,40.07,The acting was terrible and the curve was piercing
71,1.24,The acting was terrible and the batch was piercing
72,4.07,The acting was terrible and the packets was piercing
73,97.77,The acting was terrible and the curves was piercing
74,0.82,The acting was terrible and the diagram was piercing
75,57.01,The acting was terrible and the masterminded was piercing
76,5.49,The acting was terrible and the packages was piercing
77,91.03,The acting was terrible and the package was piercing
78,2.9,The acting was terrible and the orchards was piercing
79,3.41,The acting was terrible and the packet was piercing
80,82.21,The acting was terrible and the expanses was piercing
81,2.31,The acting was terrible and the collusion was piercing
82,0.41,The acting was terrible and the plat was piercing
83,46.85,The acting was terrible and the curved was piercing
84,34.98,The acting was terrible and the route was piercing
85,7.75,The acting was terrible and the map was piercing
86,0.7,The acting was terrible and the packaging was piercing
87,4.16,The acting was terrible and the routing was piercing
88,38.4,The acting was terrible and the lot was piercing
89,6.18,The acting was terrible and the graphic was piercing
90,2.91,The acting was terrible and the batches was piercing
91,27.97,The acting was terrible and the mapping was piercing
92,50.39,The acting was terrible and the maps was piercing
93,0.27,The acting was terrible and the shitload was piercing
94,88.72,The acting was terrible and the road was piercing
95,5.7,The acting was terrible and the pack was piercing
96,6.66,The acting was terrible and the complicity was piercing
97,27.56,The acting was terrible and the regimen was piercing
98,4.87,The acting was terrible and the contour was piercing
99,3.37,The acting was terrible and the conspirators was piercing
100,4.18,The acting was terrible and the packing was piercing
