token,mean_shap,count,broad_pos,functional_group,vader_score
but,0.20950875,4,stopword,function_word,0.0
just,0.14912266666666665,3,adverb,adverb,0.0
this,0.0936296,5,stopword,function_word,0.0
it,0.09302360000000001,10,stopword,function_word,0.0
it ',0.06619828571428571,7,noun,noun,0.0
look,0.05980633333333333,3,noun,noun,0.0
you,0.05640133333333333,3,stopword,function_word,0.0
movie,0.055785428571428576,7,noun,noun,0.0
its,0.052611166666666674,6,stopword,function_word,0.0
as,0.03978225,12,stopword,function_word,0.0
an,0.03874871428571429,7,stopword,function_word,0.0
to,0.03516538888888889,18,stopword,function_word,0.0
film,0.03300675,4,noun,noun,0.0
a,0.03081175,32,stopword,function_word,0.0
s,0.03030475,16,noun,noun,0.0
of,0.029901,28,stopword,function_word,0.0
...,0.029534333333333333,3,other,other,0.0
and,0.029458833333333333,30,stopword,function_word,0.0
from,0.028662399999999998,5,stopword,function_word,0.0
with,0.02780625,8,stopword,function_word,0.0
that,0.027002111111111112,9,stopword,other,0.0
in,0.026886299999999995,10,stopword,function_word,0.0
is,0.02313669230769231,13,verb,verb,0.0
sense,0.022909666666666672,3,noun,noun,0.0
on,0.0216555,4,stopword,function_word,0.0
the,0.02139161224489796,49,stopword,function_word,0.0
most,0.019769500000000002,4,adjective,adj_neutral,0.0
at,0.018332,5,stopword,function_word,0.0
has,0.01495775,4,verb,verb,0.0
humor,0.014830000000000001,3,noun,noun,0.2732
