text_idx,token,nltk_tag,broad_pos,fine_pos,functional_group,vader_score,shap_abs,shap_raw
0,it ',NN,noun,noun — singular,noun,0.0,0.007064,0.007064
0,s,NN,noun,noun — singular,noun,0.0,0.007044,0.007044
0,a,DT,stopword,determiner,function_word,0.0,0.007063,0.007063
0,charming,NN,noun,noun — singular,noun,0.5859,0.007128,0.007128
0,and,CC,stopword,coordinating conj,function_word,0.0,0.007061,0.007061
0,often,RB,adverb,adverb — base,adverb,0.0,0.007041,0.007041
0,affecting,VBG,verb,verb — gerund/present part,verb,0.0,0.007022,0.007022
0,journey,NN,noun,noun — singular,noun,0.0,0.007011,0.007011
1,unflinchingly,RB,adverb,adverb — base,adverb,0.0,0.103447,-0.103447
1,bleak,JJ,adjective,adj — base form,adj_neutral,0.0,0.344146,-0.344146
1,and,CC,stopword,coordinating conj,function_word,0.0,0.227099,-0.227099
1,desperate,JJ,adjective,adj — base form,adj_negative,-0.3182,0.254298,-0.254298
2,allows,NNS,noun,noun — plural,noun,0.0,0.002915,0.002915
2,us,PRP,stopword,pronoun — personal,function_word,0.0,0.003096,0.003096
2,to,TO,stopword,infinitive marker,function_word,0.0,0.002935,0.002935
2,hope,VB,verb,verb — base form,verb,0.4404,0.002925,0.002925
2,that,DT,stopword,determiner,function_word,0.0,0.002879,0.002879
2,nolan,NN,noun,noun — singular,noun,0.0,0.002944,0.002944
2,is,VBZ,verb,verb — 3rd person present,verb,0.0,0.002962,0.002962
2,poised,VBN,verb,verb — past participle,verb,0.25,0.003022,0.003022
2,to,TO,stopword,infinitive marker,function_word,0.0,0.002942,0.002942
2,embark,VB,verb,verb — base form,verb,0.0,0.00298,0.00298
2,a,DT,stopword,determiner,function_word,0.0,0.002902,0.002902
2,major,JJ,adjective,adj — base form,adj_neutral,0.0,0.002939,0.002939
2,career,NN,noun,noun — singular,noun,0.0,0.002825,0.002825
2,as,IN,stopword,preposition/subord. conj,function_word,0.0,0.002778,0.002778
2,a,DT,stopword,determiner,function_word,0.0,0.002818,0.002818
2,commercial,JJ,adjective,adj — base form,adj_neutral,0.0,0.002758,0.002758
2,yet,RB,adverb,adverb — base,adverb,0.0,0.002668,0.002668
2,inventive,JJ,adjective,adj — base form,adj_neutral,0.0,0.003888,0.003888
2,filmmaker,NN,noun,noun — singular,noun,0.0,0.003129,0.003129
3,the,DT,stopword,determiner,function_word,0.0,0.006272,0.006272
3,"acting ,",NN,noun,noun — singular,noun,0.0,0.005249,0.005249
3,"costumes ,",NN,noun,noun — singular,noun,0.0,0.006154,0.006154
3,"music ,",NN,noun,noun — singular,noun,0.0,0.010745,0.010745
3,cinematography,NN,noun,noun — singular,noun,0.0,0.006368,0.006368
3,and,CC,stopword,coordinating conj,function_word,0.0,0.076342,-0.076342
3,sound,NN,noun,noun — singular,noun,0.0,0.080873,-0.080873
3,are,VBP,verb,verb — non-3rd present,verb,0.0,0.073811,-0.073811
3,all,DT,stopword,determiner,function_word,0.0,0.061862,-0.061862
3,astounding,VBG,verb,verb — gerund/present part,verb,0.4215,0.802785,0.802785
3,given,VBN,verb,verb — past participle,verb,0.0,0.122651,-0.122651
3,the,DT,stopword,determiner,function_word,0.0,0.038999,-0.038999
3,production ',NN,noun,noun — singular,noun,0.0,0.082621,-0.082621
3,s,NN,noun,noun — singular,noun,0.0,0.082479,-0.082479
3,austere,JJ,adjective,adj — base form,adj_neutral,0.0,0.086479,-0.086479
3,locales,NNS,noun,noun — plural,noun,0.0,0.078418,-0.078418
4,it ',NN,noun,noun — singular,noun,0.0,0.156542,-0.156542
4,s,NN,noun,noun — singular,noun,0.0,0.156797,-0.156797
